DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,AIS_SPECIES,YEAR_INFESTED,DNR_REGION,DELINEATED,PW_BASIN_N,PW_PARENT_,PARENTDOW.CDOM,size_acres,shore_miles,max_depth,avg_depth,avg_secchi,min_secchi,max_secchi,totarea.cdom,totpix.cdom,pix.cdom,a440.cdom,avg_totalalkalinity,avg_chlorophylla,avg_nitrogen,avg_ph,avg_phosphorus,avg_conductance,mean.peak_temp,mean.gdd_wtr_10c,mean.mean_surf_jas,mean.max_surf_jas
1000100,Lake or Pond,494097.0582,5114741.396,Aitkin,N,U,NA,NA,2,Fsh,Pine,Pine,10001,377.7636297,4.95367288,7.9248,4.4304,1.848180386,0.85,3.81,373.5783516,1681.102582,0.853011598,5.3052915,74,14.05714286,0.87125,7.171111111,0.089083333,140.74,28.62612707960832,1718.5191500131875,22.657487863246427,28.5218983011749
1000200,Lake or Pond,487123.6796,5139075.438,Aitkin,N,U,NA,NA,2,Fsh,Split Rock,Split Rock,10002,27.20489284,0.89785327,2.4384,NA,NA,NA,NA,23.56439613,106.0397826,0.688420876,11.88813365,NA,NA,NA,NA,NA,NA,29.996191662149425,1521.1038787652371,21.007435665614263,29.86164745800227
1000300,Lake or Pond,489479.5727,5155600.732,Aitkin,N,U,NA,NA,2,NA,Sandabacka,Sandabacka,10003,27.57491401,0.76232683,NA,NA,NA,NA,NA,27.63511985,124.3580393,0.707634187,8.294375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000400,Lake or Pond,489529.521,5155207.643,Aitkin,N,U,NA,NA,2,NA,Dutch,Dutch,10004,39.83133283,1.33906375,NA,NA,NA,NA,NA,43.68736665,196.5931499,0.630744256,7.43747065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000500,Lake or Pond,489578.9602,5160179.947,Aitkin,N,U,NA,NA,2,NA,Rice,Rice,10005,77.90152989,1.65467911,NA,NA,NA,NA,NA,77.91409285,350.6134178,0.507681654,5.9099784,NA,1.18,NA,NA,0.028,NA,NA,NA,NA,NA
1000600,Lake or Pond,494876.1868,5165319.634,Aitkin,N,U,NA,NA,2,NA,Mud,Mud,10006,14.84901776,0.62169817,NA,NA,NA,NA,NA,15.33966536,69.02849414,0.593957619,6.17572465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000700,Lake or Pond,491623.9591,5163124.326,Aitkin,N,U,NA,NA,2,USGS,Jay,Jay,NA,10.7778328,0.49764572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000800,Lake or Pond,492309.1758,5164291.935,Aitkin,N,U,NA,NA,2,NA,Spruce,Spruce,10008,16.40880668,0.70184948,NA,NA,NA,NA,NA,17.94739722,80.76328747,0.730529946,6.9333908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000900,Lake or Pond,493025.878,5163899.542,Aitkin,N,U,NA,NA,2,Fsh,Douglas,Douglas,10009,77.82716687,2.48154927,12,NA,1.48,1.4,1.7,77.3901088,348.2554896,0.631720121,5.00329195,NA,15,NA,NA,NA,NA,28.01488123231881,1604.071388802178,21.725286320573073,27.876074998815405
1001000,Lake or Pond,492730.0843,5163270.133,Aitkin,N,U,NA,NA,2,USGS,Nelson,Nelson,10010,56.71671354,1.38452296,NA,NA,NA,NA,NA,57.0407901,256.6835554,0.767481967,7.1725395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001100,Lake or Pond,494320.3323,5164245.028,Aitkin,N,U,NA,NA,2,NA,Cranberry,Cranberry,10011,18.95588204,0.71695368,NA,NA,NA,NA,NA,19.59910692,88.19598113,0.566919256,8.28565365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001200,Lake or Pond,494824.0675,5164635.746,Aitkin,N,U,NA,NA,2,NA,Louma,Louma,NA,19.37679971,0.63946875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001300,Lake or Pond,490153.3787,5161935.281,Aitkin,N,U,NA,NA,2,USGS,Kelly,Kelly,10013,14.4939038,0.64379362,NA,NA,NA,NA,NA,15.01208722,67.55439247,0.710538549,6.2907826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001400,Lake or Pond,486035.0719,5188270.356,Aitkin,N,U,NA,NA,2,Fsh,Savanna,Savanna,10014,101.1979847,2.11764373,7.0104,NA,1.332166667,0.762,1.7,94.35379011,424.5920555,0.79605823,8.7645507,NA,29.4,NA,7.363846154,0.03375,181.6666667,28.12289204639085,1604.8431807543975,21.71000021633107,27.992549474355584
1001500,Lake or Pond,488814.0124,5186311.179,Aitkin,N,U,NA,NA,2,Fsh,Shumway,Shumway,10015,74.18495553,1.56805554,6.7056,3.7488,2.328618182,1.9812,2.7,70.65863643,317.9638639,0.846008086,6.52944035,NA,4,NA,7.17,0.015333333,86.72727273,27.636948477430625,1590.9514865309957,21.74651114708628,27.489679111270906
1001600,Lake or Pond,492017.3097,5184697.512,Aitkin,N,U,NA,NA,2,NA,Little Prairie,Little Prairie,10016,72.64375287,1.27775129,NA,NA,NA,NA,NA,72.55193329,326.4836998,0.961763176,9.37080355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001700,Lake or Pond,489136.691,5184411.146,Aitkin,N,U,NA,NA,2,NA,Stony,Stony,10017,49.51496879,1.0877524,NA,NA,NA,NA,NA,48.20155585,216.9070013,0.848289815,7.56898435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001800,Lake or Pond,486099.9237,5184763.55,Aitkin,N,U,NA,NA,2,NA,Little Savanna,Little Savanna,10018,19.93018555,0.73559775,NA,NA,NA,NA,NA,20.48992113,92.20464509,0.867635247,7.9641604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001900,Lake or Pond,487626.1525,5188546.496,Aitkin,N,U,NA,NA,2,Fsh,Wolf,Wolf,10019,173.4331074,2.31672974,9.144,5.112,1.08712,0.4572,1.73736,159.6252175,718.3134787,0.925779649,8.30434395,NA,NA,NA,NA,NA,NA,27.403511019717616,1562.3123799236557,21.597805529769495,27.27356563306295
1002000,Lake or Pond,487644.1506,5189523.325,Aitkin,N,U,NA,NA,2,NA,Unnamed,Unnamed,10020,18.74684436,0.63361897,NA,NA,NA,NA,NA,18.24626193,82.10817867,0.779459502,6.30078205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002100,Lake or Pond,494255.1029,5205830.266,Aitkin,N,U,NA,NA,2,USGS,Floodwood Pond,Floodwood Pond,NA,10.59253033,0.50698525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002200,Lake or Pond,485494.5134,5175624.904,Aitkin,N,U,NA,NA,2,Fsh,Island,Island,10022,243.6712744,4.81011551,7.62,NA,2.033544262,1.2,3.2,254.1539577,1143.69281,0.800040004,8.001731,NA,3.666666667,NA,NA,0.027333333,NA,27.822014666071038,1584.8369150737333,21.74823140102473,27.697862286831437
1002300,Lake or Pond,485282.2841,5171452.803,Aitkin,N,U,NA,NA,2,Fsh,Round,Round,10023,553.5046353,3.68289481,7.9248,4.430400671,4.568539326,2.1,7.32,529.1749946,2381.287476,0.97300306,0.83399495,29.5,1.945,0.41,7.786666667,0.0142,78.55555556,26.408448878956765,1483.77525945704,21.330286777051672,26.34450278666682
1002400,Lake or Pond,485454.9848,5185826.505,Aitkin,N,U,NA,NA,2,Fsh,Loon,Loon,10024,34.19014641,1.14474112,6.4008,NA,1.827507692,1.0668,3.1,33.53435589,150.9046015,0.748817458,1.3760188,NA,7.2,NA,7.4125,NA,75.23076923,27.827031365342833,1584.4743697996423,21.608596403939295,27.687641277334468
1002500,Lake or Pond,480524.1532,5135540.99,Aitkin,N,U,NA,NA,2,USGS,Twenty-one,Twenty-one,10025,19.90274498,0.75334739,NA,NA,NA,NA,NA,20.22151501,90.99681754,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002600,Lake or Pond,485096.8969,5159649.645,Aitkin,N,U,NA,NA,2,NA,Little Sheriff,Little Sheriff,10026,32.71248911,0.89643139,NA,NA,NA,NA,NA,32.42836253,145.9276314,0.849736262,4.9977604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002700,Lake or Pond,485291.1137,5158746.589,Aitkin,N,U,NA,NA,2,Fsh,Sheriff,Sheriff,10027,88.37357197,1.78009294,24.384,13.632,2.809710769,1.8,3.81,86.30027694,388.3512463,0.823996326,5.09701855,NA,7.715,NA,7.49875,0.0375,38.80952381,27.200116077664756,1505.421620153481,21.223059393242163,27.074871456867616
1002800,Lake or Pond,479948.8454,5156940.593,Aitkin,N,U,NA,NA,2,Fsh,Starvation,Starvation,10028,67.19912184,2.79157858,9.7536,NA,NA,NA,NA,65.95131677,296.7809254,0.437144239,5.983658,NA,NA,NA,NA,NA,NA,27.595346863753186,1581.6235378679996,21.703386259604724,27.469972513193753
1002900,Lake or Pond,481158.2346,5167144.908,Aitkin,N,U,NA,NA,2,EWR,Mud,Mud,NA,588.8428758,3.86748994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003000,Lake or Pond,478429.3574,5161266.885,Aitkin,N,U,NA,NA,2,EWR,Rice,Rice,NA,266.3199165,2.86805781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003100,Lake or Pond,482223.4925,5176078.554,Aitkin,N,U,NA,NA,2,Fsh,Anderson,Anderson,10031,91.34208728,1.87665169,4.9,NA,NA,NA,NA,91.59344074,412.1704833,0.672052006,8.47673685,NA,NA,NA,NA,NA,NA,28.356427007009277,1562.0175166728172,21.461329356596515,28.223790301852738
1003200,Lake or Pond,483814.9325,5175647.234,Aitkin,N,U,NA,NA,2,Fsh,Camp,Camp,NA,14.90225469,0.63819256,11.3,NA,0.9906,0.9906,0.9906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.535306567495176,1584.2949480029895,21.675322662610935,27.408705805497288
1003300,Lake or Pond,479848.041,5172826.07,Aitkin,N,U,NA,NA,2,Fsh,Minnewawa,Minnewawa,10033,2351.267521,18.57974371,6.096,3.408,1.717074699,0.762,3.355,2314.188719,10413.84924,0.74388171,4.763876383,41,11.16875,0.777142857,7.891818182,0.037513514,120.4375,27.016351745561472,1529.07558820123,21.29437473934669,26.92901330086287
1003400,Lake or Pond,483970.3014,5173669.424,Aitkin,N,U,NA,NA,2,Fsh,Horseshoe,Horseshoe,10034,240.0631852,3.72298339,3.3528,1.8744,0.980410213,0.4,1.8,225.244056,1013.598252,0.874113584,10.93342255,42,22.4,1.22,7.525,0.048166667,114.5166667,29.344098759967153,1610.6600117265857,21.64497887486818,29.173528751594727
1003500,Lake or Pond,479139.6647,5170764.827,Aitkin,N,U,NA,NA,2,USGS,Mud,Mud,10035,47.90321935,1.2363771,NA,NA,1,1,1,48.31837965,217.4327084,0.689868609,8.60615085,NA,NA,NA,NA,0.032,NA,NA,NA,NA,NA
1003600,Lake or Pond,481991.295,5188383.143,Aitkin,N,U,NA,NA,2,Fsh,Wakefield,Wakefield,10036,163.9188316,3.34545028,21.0312,NA,1.524,1.524,1.524,153.4172243,690.3775093,0.885023037,8.45800585,NA,NA,NA,NA,NA,NA,27.138104530063277,1557.4296772603482,21.62351306130698,27.033123271483436
1003700,Lake or Pond,477063.626,5188142.286,Aitkin,N,U,NA,NA,2,NA,Unnamed,Unnamed,10037,21.71092251,0.72404975,NA,NA,NA,NA,NA,22.61204089,101.754184,0.520863103,11.38211145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003800,Lake or Pond,483910.0873,5185593.893,Aitkin,N,U,NA,NA,2,Fsh,Remote,Remote,10038,133.6562844,4.16681317,44.8,NA,2.077945455,1.5,2.7,122.1978475,549.8903136,0.71286944,5.7710075,7,6.75,NA,6.215,0.021,13,NA,NA,NA,NA
1003900,Lake or Pond,482259.5073,5184297.192,Aitkin,N,U,NA,NA,2,USGS,Unnamed,Unnamed,NA,11.4725629,0.51865394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
